study,cancer_type,selection,comparability,outcome,total_nos,quality
Wirbel2019,CRC,4,2,3,8,High
ZellerG_2014,CRC,4,1,2,7,Moderate
YuJ_2015,CRC,4,2,3,8,High
ThomasAM_2019,CRC,4,2,3,8,High
VogtmannE_2016,CRC,4,1,2,7,Moderate
Ferreira2018,GC,4,1,2,7,Moderate
Coker2018,GC,4,2,3,8,High
Liu2019_GC,GC,4,1,2,7,Moderate
Ren2019_PDAC,PDAC,4,2,3,8,High
Pushalkar2018,PDAC,4,1,2,7,Moderate
Riquelme2019,PDAC,4,2,3,9,High
Ren2019_HCC,HCC,4,2,3,8,High
Zheng2020,HCC,4,2,3,8,High
Liu2022_HCC,HCC,4,1,2,7,Moderate
Jin2019,LC,4,1,2,7,Moderate
Liu2018_LC,LC,4,1,2,7,Moderate
Huang2021_LC,LC,4,2,3,8,High
Tsay2021,LC,4,2,3,8,High
